timestamp,cpu_percent,memory_mb,network_rx,network_tx
1763273386,5.6,7608,5341028454,2209155623
1763273387,4.7,7603,5341055804,2209517772
1763273388,4.6,7627,5341058695,2209518030
1763273390,5.2,7620,5341065360,2209518902
1763273391,4.3,7612,5341069329,2209519332
1763273392,3.8,7619,5341074702,2209520450
1763273393,4.7,7630,5341087287,2209530029
1763273394,2.8,7612,5341089515,2209530287
1763273396,1.4,7606,5341154289,2209923754
1763273397,2.8,7605,5341160200,2209924098
1763273398,1.4,7586,5341164625,2209925302
1763273399,1.9,7583,5341170042,2209926606
1763273401,3.8,7572,5341175089,2209927208
1763273402,3.8,7585,5341177217,2209927380
1763273403,5.2,7590,5341177713,2209927380
1763273404,5.1,7602,5341201913,2209937659
1763273405,4.7,7586,5341207151,2209942926
1763273407,14.6,7583,5341211484,2209948154
1763273408,5.7,7572,5341234861,2209969822
1763273409,3.8,7594,5341252801,2209975440
1763273410,5.2,7600,5341258583,2209976054
1763273412,4.2,7609,5341260765,2209976410
1763273413,4.3,7614,5341263782,2209976410
1763273414,3.7,7603,5341267393,2209976410
1763273415,5.1,7576,5341268884,2209976410
1763273416,4.1,7568,5341274247,2209976644
1763273418,4.7,7564,5341274736,2209976730
1763273419,4.1,7570,5341275035,2209976730
1763273420,4.7,7585,5341275308,2209976730
1763273421,4.6,7593,5341275663,2209976730
1763273423,3.7,7575,5341275789,2209976816
1763273424,4.1,7577,5341276029,2209976816
1763273425,4.6,7580,5341276583,2209976816
1763273426,3.7,7577,5341277496,2209976816
1763273427,4.2,7572,5341279295,2209976816
1763273429,4.2,7569,5341280051,2209976816
1763273430,3.8,7566,5341280305,2209976816
1763273431,4.7,7608,5341280878,2209976932
1763273432,5.2,7596,5341282737,2209976932
1763273434,3.8,7589,5341283646,2209976932
1763273435,4.2,7571,5341285104,2209976932
1763273436,4.2,7582,5341287235,2209976932
1763273437,4.2,7596,5341296846,2209996905
1763273439,4.2,7617,5341297063,2209996905
1763273440,4.3,7623,5341298904,2209996905
1763273441,4.7,7635,5341299181,2209996905
1763273442,4.7,7632,5341299670,2209996905
1763273443,5.2,7630,5341300216,2209996905
1763273445,4.6,7616,5341300725,2209997400
1763273446,3.8,7616,5341301083,2209997400
1763273447,5.0,7608,5341302738,2209997951
1763273448,4.7,7602,5341303083,2209997951
1763273450,4.7,7578,5341303312,2209997951
1763273451,4.7,7565,5341303886,2209997951
1763273452,4.7,7558,5341304920,2209998013
1763273453,4.8,7556,5341305252,2209998013
1763273454,4.3,7582,5341306557,2209998013
1763273456,4.7,7585,5341310598,2209998271
1763273457,4.2,7590,5341312160,2209998271
1763273458,3.7,7585,5341313075,2209998271
1763273459,4.3,7591,5341316254,2209998271
1763273461,4.6,7602,5341317054,2209998271
1763273462,4.3,7613,5341318370,2209998357
1763273463,4.7,7599,5341319458,2209998443
1763273464,5.1,7596,5341320244,2209998443
1763273465,4.2,7596,5341321237,2209998443
1763273467,4.6,7601,5341322305,2209998443
1763273468,5.6,7600,5341352519,2210284206
1763273469,4.2,7584,5341360395,2210368776
1763273470,4.3,7574,5341361200,2210368776
1763273472,5.3,7571,5341367911,2210369820
1763273473,3.8,7570,5341376101,2210370852
1763273474,2.9,7600,5341389922,2210380775
1763273475,3.8,7598,5341393044,2210381033
1763273476,2.8,7602,5341397118,2210381153
1763273478,3.7,7597,5341402666,2210387775
1763273479,3.3,7590,5341405969,2210392399
1763273480,3.3,7612,5341451274,2210772812
1763273481,2.8,7605,5341481811,2210790912
1763273483,2.8,7603,5341490848,2210791182
1763273484,2.8,7608,5341493728,2210791870
1763273485,1.9,7590,5341499000,2210792914
1763273486,1.9,7566,5341500116,2210792976
1763273487,6.9,7576,5341517555,2210802985
1763273489,2.8,7586,5341523784,2210807843
1763273490,2.4,7598,5341525546,2210808078
1763273491,3.2,7599,5341529612,2210813810
1763273492,3.3,7592,5341602838,2210825628
1763273494,3.8,7577,5341609109,2210829446
1763273495,4.3,7562,5341612749,2210834036
1763273496,4.1,7579,5341621787,2210843654
1763273497,15.7,7590,5341640360,2210857230
1763273498,4.7,7603,5341644165,2210859309
1763273500,4.7,7602,5341688034,2210892562
1763273501,5.2,7564,5341691749,2210892820
1763273502,3.7,7608,5341692559,2210892820
1763273503,3.7,7602,5341694945,2210892820
1763273505,3.7,7585,5341696066,2210892820
1763273506,4.8,7586,5341696725,2210892820
1763273507,4.3,7548,5341697146,2210892820
1763273508,4.7,7596,5341698542,2210892820
1763273509,4.7,7591,5341698861,2210892820
1763273511,4.7,7590,5341699494,2210893603
1763273512,4.3,7591,5341705694,2210898017
1763273513,4.3,7607,5341707756,2210903269
1763273514,4.3,7577,5341708703,2210903269
1763273516,4.2,7589,5341709798,2210903269
1763273517,3.8,7587,5341710171,2210903269
1763273518,3.8,7590,5341712791,2210903269
1763273519,4.2,7584,5341714950,2210903269
1763273521,4.7,7586,5341719053,2210903331
1763273522,4.7,7592,5341722384,2210903331
1763273523,5.0,7568,5341722561,2210903331
1763273524,3.7,7593,5341725397,2210903331
1763273525,4.2,7598,5341726718,2210903331
1763273527,3.8,7587,5341728243,2210903565
1763273528,5.1,7588,5341730008,2210903565
1763273529,4.2,7599,5341731621,2210903565
1763273530,7.1,7664,5341734405,2210903565
1763273532,5.2,7417,5341735358,2210903565
1763273533,3.8,7418,5341736878,2210903565
1763273534,4.6,7425,5341738363,2210903565
1763273535,5.1,7427,5341739550,2210903565
1763273536,4.2,7411,5341745437,2210903565
1763273538,4.8,7412,5341746651,2210904381
1763273539,4.3,7453,5341751823,2210904467
1763273540,4.7,7441,5341753407,2210904846
1763273541,4.2,7430,5341754131,2210904846
1763273543,4.2,7433,5341757625,2210904932
1763273544,4.2,7446,5341758903,2210905018
1763273545,4.2,7450,5341759438,2210905018
1763273546,4.3,7441,5341761205,2210905018
1763273547,5.2,7430,5341762372,2210905018
1763273549,4.3,7422,5341765317,2210905018
1763273550,3.8,7434,5341767988,2210905018
1763273551,5.1,7427,5341770078,2210905018
1763273552,4.6,7481,5341771126,2210905018
1763273554,4.7,7481,5341776027,2210905018
1763273555,4.7,7493,5341778098,2210905018
1763273556,5.5,7567,5341786440,2210906643
1763273557,4.7,7618,5341798667,2210916457
1763273558,5.2,7609,5341800027,2210916658
1763273560,2.9,7615,5341828580,2211283935
1763273561,2.9,7621,5341830924,2211283997
1763273562,2.9,7599,5341835824,2211284513
1763273563,14.4,7595,5341843029,2211285803
1763273565,4.2,7574,5341855902,2211295812
1763273566,3.8,7566,5341858154,2211296070
1763273567,4.2,7582,5341861097,2211300706
1763273568,4.3,7564,5341864103,2211305266
1763273569,3.7,7594,5341864573,2211309686
1763273571,3.8,7610,5341869358,2211314534
1763273572,4.7,7565,5341872831,2211315003
1763273573,4.2,7549,5341875989,2211319718
1763273574,7.1,7550,5341882029,2211329704
1763273576,4.3,7547,5341948777,2211721455
1763273577,4.3,7548,5341952818,2211721553
1763273578,4.1,7566,5341956304,2211722597
1763273579,4.2,7567,5341963499,2211723715
1763273580,4.7,7593,5341965270,2211723715
1763273582,4.6,7583,5341967066,2211723973
1763273583,4.6,7581,5341968462,2211723973
1763273584,5.2,7582,5341968971,2211724468
1763273585,5.0,7580,5341970913,2211724847
1763273587,4.8,7578,5341971954,2211724847
1763273588,4.8,7574,5341973280,2211724847
1763273589,3.8,7588,5342013230,2211735461
1763273590,4.8,7579,5342016147,2211740183
1763273591,4.7,7581,5342033663,2211758912
1763273593,3.8,7564,5342064244,2211774537
1763273594,3.8,7580,5342068268,2211774537
1763273595,4.1,7576,5342072460,2211774537
1763273596,3.8,7567,5342074882,2211774599
1763273598,4.2,7564,5342075980,2211774599
1763273599,3.8,7575,5342076100,2211774599
1763273600,4.6,7589,5342077049,2211774599
1763273601,3.8,7578,5342079536,2211774599
1763273602,3.8,7574,5342080484,2211774685
1763273604,4.7,7572,5342081991,2211774771
1763273605,4.1,7566,5342082600,2211774771
1763273606,4.2,7576,5342083784,2211774771
1763273607,3.8,7570,5342084427,2211774771
1763273609,3.3,7599,5342085197,2211774771
1763273610,4.2,7618,5342086839,2211775006
1763273611,3.8,7618,5342087260,2211775241
1763273612,4.2,7596,5342087260,2211775711
1763273613,3.8,7569,5342089114,2211775711
1763273615,4.2,7578,5342089675,2211775819
1763273616,4.2,7580,5342097716,2211775819
